epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,263.678,0.93499,0.57348,1.06192,0.99504,0.99,0.9948,0.50249,1.65509,0.64121,1.48894,0.000990365,0.000990365,0.000990365
43,269.858,0.96649,0.60112,1.07621,0.99443,0.99904,0.995,0.55002,1.61153,0.59564,1.46667,0.000973861,0.000973861,0.000973861
44,276.065,0.91593,0.54826,1.06812,0.96388,0.97387,0.97773,0.55182,1.59954,0.60872,1.43855,0.000957358,0.000957358,0.000957358
45,282.256,0.95475,0.54589,1.08305,0.97755,0.97387,0.98128,0.52994,1.65312,0.58201,1.43637,0.000940855,0.000940855,0.000940855
46,288.433,0.95627,0.58796,1.06407,0.98562,1,0.9948,0.55957,1.59139,0.60115,1.40692,0.000924352,0.000924352,0.000924352
47,294.602,0.97134,0.58231,1.07342,0.99394,1,0.995,0.55389,1.5944,0.57082,1.41498,0.000907848,0.000907848,0.000907848
48,300.788,0.9364,0.54905,1.05669,0.98215,0.98296,0.98254,0.5565,1.62827,0.59061,1.44224,0.000891345,0.000891345,0.000891345
49,307.196,0.98672,0.5736,1.11185,0.99586,0.99697,0.995,0.50897,1.73524,0.5873,1.47219,0.000874842,0.000874842,0.000874842
50,313.488,0.93373,0.55377,1.10764,0.99764,0.98816,0.9948,0.55529,1.56947,0.58462,1.38488,0.000858338,0.000858338,0.000858338
51,319.661,0.95343,0.55111,1.07173,0.99482,0.99771,0.995,0.53473,1.62293,0.58539,1.46845,0.000841835,0.000841835,0.000841835
52,325.834,0.94952,0.5609,1.07683,0.97269,0.97387,0.97768,0.52822,1.61876,0.58405,1.44352,0.000825332,0.000825332,0.000825332
53,332.003,0.93529,0.54401,1.06405,0.96921,0.97387,0.97682,0.55107,1.54987,0.58411,1.47169,0.000808828,0.000808828,0.000808828
54,338.204,0.88933,0.52524,1.05872,0.94859,0.98387,0.97786,0.55308,1.58012,0.63103,1.4876,0.000792325,0.000792325,0.000792325
55,344.542,0.883,0.50187,1.03903,0.97374,0.99961,0.99442,0.52649,1.64039,0.57948,1.54558,0.000775822,0.000775822,0.000775822
56,351.046,0.9127,0.51328,1.05335,0.99497,0.99,0.9948,0.54451,1.67246,0.59599,1.47831,0.000759318,0.000759318,0.000759318
57,357.175,0.9037,0.53645,1.07963,0.97918,0.97479,0.98344,0.5505,1.62687,0.56659,1.45147,0.000742815,0.000742815,0.000742815
58,363.435,0.91868,0.53635,1.06508,0.99352,0.98254,0.99409,0.55499,1.6345,0.58477,1.48299,0.000726312,0.000726312,0.000726312
59,369.59,0.82107,0.49594,1.03767,0.97705,0.98387,0.99368,0.53434,1.68793,0.60537,1.51071,0.000709809,0.000709809,0.000709809
60,375.736,0.905,0.51686,1.06306,0.98119,0.98387,0.97729,0.55048,1.57998,0.55123,1.46098,0.000693305,0.000693305,0.000693305
61,381.887,0.89177,0.51252,1.06113,0.99726,1,0.995,0.54961,1.62666,0.53879,1.5023,0.000676802,0.000676802,0.000676802
62,388.053,0.91003,0.50713,1.0866,0.99437,1,0.995,0.56837,1.5835,0.57573,1.4102,0.000660299,0.000660299,0.000660299
63,394.205,0.88849,0.49561,1.06663,0.98105,0.97249,0.97755,0.54866,1.67183,0.58599,1.48929,0.000643795,0.000643795,0.000643795
64,400.359,0.87054,0.52075,1.05724,0.95836,0.98387,0.97491,0.53289,1.6663,0.58802,1.46834,0.000627292,0.000627292,0.000627292
65,406.489,0.88407,0.52513,1.04385,0.97023,0.98387,0.98089,0.53014,1.64236,0.59981,1.42297,0.000610789,0.000610789,0.000610789
66,412.761,0.86596,0.56713,1.06508,0.97122,0.98167,0.98136,0.53609,1.6352,0.56727,1.45983,0.000594286,0.000594286,0.000594286
67,418.974,0.85167,0.48745,1.02543,0.98088,0.97991,0.98236,0.54955,1.65506,0.59748,1.47934,0.000577782,0.000577782,0.000577782
68,425.147,0.85099,0.48133,1.03248,0.97048,0.98387,0.98329,0.55861,1.57802,0.57325,1.42192,0.000561279,0.000561279,0.000561279
69,431.286,0.79928,0.46792,1.01833,0.96787,0.98387,0.98094,0.54079,1.6349,0.60099,1.48855,0.000544776,0.000544776,0.000544776
70,437.458,0.83094,0.48448,1.03491,0.96523,0.97387,0.98502,0.54391,1.60755,0.58216,1.45979,0.000528272,0.000528272,0.000528272
71,443.617,0.83707,0.45943,1.02415,0.96763,0.98387,0.9803,0.53166,1.64251,0.57171,1.40726,0.000511769,0.000511769,0.000511769
72,449.77,0.8345,0.49244,1.0168,0.9731,0.98387,0.98215,0.54401,1.61398,0.56072,1.45373,0.000495266,0.000495266,0.000495266
73,455.919,0.81539,0.45197,1.02699,0.9689,0.98387,0.98254,0.55398,1.61262,0.5691,1.46881,0.000478762,0.000478762,0.000478762
74,462.165,0.78553,0.45035,1.01239,0.98526,1,0.9948,0.55891,1.59419,0.54662,1.51201,0.000462259,0.000462259,0.000462259
75,468.304,0.86723,0.46922,1.06184,0.97561,0.98387,0.98173,0.54059,1.65163,0.575,1.49892,0.000445756,0.000445756,0.000445756
76,474.485,0.81968,0.45596,1.02659,0.96192,0.98387,0.98581,0.52684,1.75729,0.60021,1.5342,0.000429253,0.000429253,0.000429253
77,480.636,0.80065,0.4467,1.02453,0.96386,0.98387,0.98561,0.56866,1.62388,0.55075,1.4475,0.000412749,0.000412749,0.000412749
78,486.787,0.81699,0.4576,1.02863,0.96431,0.97387,0.98297,0.56059,1.59066,0.5494,1.463,0.000396246,0.000396246,0.000396246
79,492.93,0.80162,0.45576,1.02656,0.97088,0.98387,0.98416,0.56153,1.56629,0.54629,1.45049,0.000379743,0.000379743,0.000379743
80,499.341,0.79993,0.46563,1.02551,0.98044,0.9836,0.98294,0.53447,1.65517,0.57798,1.46449,0.000363239,0.000363239,0.000363239
81,505.731,0.81068,0.45238,1.03376,0.97697,0.98217,0.9831,0.55474,1.57523,0.53768,1.43461,0.000346736,0.000346736,0.000346736
82,511.913,0.8065,0.46196,1.02737,0.96786,0.97387,0.98093,0.5431,1.63875,0.54837,1.45159,0.000330233,0.000330233,0.000330233
83,518.202,0.793,0.44442,1.01637,0.95937,0.98387,0.98544,0.53397,1.63642,0.55895,1.4579,0.000313729,0.000313729,0.000313729
